;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Pato desmenuzado ; Granja Marina ; 1,200 ; kg ; 63.600 ; 76.320 ; 764 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Grasa de pato ; La Fromagerie ; 1,000 ; kg ; 1.680 ; 1.680 ; 17 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; manteca ; Fruton ; 1,000 ; kg ; 3.390 ; 3.390 ; 34 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Romero ; Agromarket ; 0,150 ; atado ; 495 ; 74 ; 1 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Ajo ; Comercial Valencia ; 1,000 ; c/u ; 450 ; 450 ; 5 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; cebolla ; Fruton ; 0,400 ; kg ; 690 ; 276 ; 3 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Zanahorias ; Comercial Valencia ; 0,400 ; pqte ; 790 ; 316 ; 4 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Deco-Rectángulo de masa de hoja, confit de pato y puerro frito-Rectángulo de masa de hoja ; Vino blanco en caja 2 lt ; CCU ; 0,300 ; caja ; 1.303 ; 391 ; 4 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; cebolla ; Fruton ; 0,250 ; kg ; 690 ; 173 ; 2 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; Carcasa de pollo ; Delicias y mas SpA ; 1,000 ; kg ; 2.290 ; 2.290 ; 23 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; Zanahorias ; Comercial Valencia ; 0,400 ; pqte ; 790 ; 316 ; 4 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; Pimentón Rojo ; Comercial Valencia ; 0,800 ; c/u ; 890 ; 712 ; 8 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; ajo ; Comercial Valencia ; 0,600 ; c/u ; 450 ; 270 ; 3 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; Apio ; Delicias y mas SpA ; 0,050 ; mata ; 980 ; 49 ; 1 
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; agua ; Bodega ; 6,000 ; lt ; -   ; -   ; -   
; Mini plato-Trio de patos-Crema de arvejitas..(100 cc)-Fondo de ave ; Puerros ; Comercial Valencia ; 0,800 ; c/u ; 790 ; 632 ; 7 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; Grand rapid ; Jardin del Chef ; 0,150 ; kg ; 4.200 ; 630 ; 7 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; Lechuga lollo rossa ; Fruton ; 0,150 ; kg ; 490 ; 74 ; 1 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; Rucula ; Comercial Johnson ; 0,150 ; kg ; 11.765 ; 1.765 ; 18 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; Nuez partida ; MIGUEL FARIAS ; 0,150 ; kg ; 8.900 ; 1.335 ; 14 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Ensalada ; Queso roquefort ; Fruton ; 0,500 ; kg ; 29.800 ; 14.900 ; 149 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Magré ; Pechuga de pato deshuesada ; Granja Marina ; 3,000 ; kg ; 28.500 ; 85.500 ; 855 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Magré ; Vinagre balsámico ; A Y R ; 1,000 ; botella ; 2.000 ; 2.000 ; 20 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Magré ; Miel ; Fruton ; 0,200 ; kg ; 3.980 ; 796 ; 8 
; Mini plato-Trio de patos-Ensalada de roquefort y magré-Magré ; Ajo ; Comercial Valencia ; 2,000 ; c/u ; 450 ; 900 ; 9 
; Mini plato-Trio de patos-Membrillo caramelizado ; membrillo ; Agromarket ; 5,000 ; kg ; 2.250 ; 11.250 ; 113 
; Mini plato-Trio de patos-Membrillo caramelizado ; Azúcar Iansa ; Fruton ; 2,000 ; kg ; 1.300 ; 2.600 ; 26 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; cebolla ; Fruton ; 0,320 ; kg ; 690 ; 221 ; 3 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; Pana de pollo ; Delicias y mas SpA ; 1,280 ; kg ; 1.600 ; 2.048 ; 21 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; Pulpa de cerdo deshuesada ; Pallet Steak ; 1,280 ; kg ; 4.992 ; 6.390 ; 64 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; Tocino ahumado ; Delicias y mas SpA ; 0,800 ; kg ; 12.390 ; 9.912 ; 100 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; manzana verde ; Fruton ; 0,500 ; kg ; 890 ; 445 ; 5 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; Oporto ; CAMBIAR ; 0,360 ; botella ; 5.512 ; 1.984 ; 20 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté ; Jerez zalamero ; CAMBIAR ; 0,300 ; botella ; 5.266 ; 1.580 ; 16 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Deco pistaccio ; Pistacho ; MIGUEL FARIAS ; 0,200 ; kg ; 28.815 ; 5.763 ; 58 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Reducción de oporto ; Oporto ; CAMBIAR ; 1,000 ; botella ; 5.512 ; 5.512 ; 56 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Reducción de oporto ; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Verdes ; Grand rapid ; Jardin del Chef ; 0,150 ; kg ; 4.200 ; 630 ; 7 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Verdes ; Lechuga lollo rossa ; Fruton ; 0,150 ; kg ; 490 ; 74 ; 1 
; Mini plato-Trio de patos-Membrillo caramelizado-Disco de paté-Verdes ; Rucula ; Comercial Johnson ; 0,150 ; kg ; 11.765 ; 1.765 ; 18 
; Mini plato-Trio de sopas-Crema de apio (80cc) ; apio ; Delicias y mas SpA ; 1,000 ; mata ; 980 ; 980 ; 10 
; Mini plato-Trio de sopas-Crema de apio (80cc) ; Leche ; Cabezas y cia ; 1,000 ; lt ; 999 ; 999 ; 10 
; Mini plato-Trio de sopas-Crema de apio (80cc) ; Crema ; Cabezas y cia ; 0,500 ; lt ; 3.721 ; 1.861 ; 19 
; Mini plato-Trio de sopas-Crema de apio (80cc) ; Ajo ; Comercial Valencia ; 0,500 ; c/u ; 450 ; 225 ; 3 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Pato desmenuzado ; Granja Marina ; 0,700 ; kg ; 63.600 ; 44.520 ; 446 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Grasa de pato ; La Fromagerie ; 0,500 ; kg ; 1.680 ; 840 ; 9 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; manteca ; Fruton ; 0,500 ; kg ; 3.390 ; 1.695 ; 17 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Romero ; Agromarket ; 0,075 ; atado ; 495 ; 37 ; 1 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Ajo ; Comercial Valencia ; 0,500 ; c/u ; 450 ; 225 ; 3 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; cebolla ; Fruton ; 0,200 ; kg ; 690 ; 138 ; 2 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Zanahorias ; Comercial Valencia ; 0,200 ; pqte ; 790 ; 158 ; 2 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Contit de pato (espolvorear sobre la sopa) ; Vino blanco en caja 2 lt ; CCU ; 0,150 ; caja ; 1.303 ; 195 ; 2 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Deco-Manzanas craqueladas ; manzana verde ; Fruton ; 2,500 ; kg ; 890 ; 2.225 ; 23 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Deco-Manzanas craqueladas ; Limón ; Fruton ; 2,000 ; kg ; 1.590 ; 3.180 ; 32 
; Mini plato-Trio de sopas-Crema de apio (80cc)-Deco-Manzanas craqueladas ; Azúcar flor ; Delicias y mas SpA ; 0,500 ; kg ; 1.500 ; 750 ; 8 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; cebolla ; Fruton ; 0,250 ; kg ; 690 ; 173 ; 2 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; Carcasa de pollo ; Delicias y mas SpA ; 1,000 ; kg ; 2.290 ; 2.290 ; 23 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; Zanahorias ; Comercial Valencia ; 0,400 ; pqte ; 790 ; 316 ; 4 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; Pimentón Rojo ; Comercial Valencia ; 0,800 ; c/u ; 890 ; 712 ; 8 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; ajo ; Comercial Valencia ; 0,600 ; c/u ; 450 ; 270 ; 3 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; Apio ; Delicias y mas SpA ; 0,050 ; mata ; 980 ; 49 ; 1 
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; agua ; Bodega ; 6,000 ; lt ; -   ; -   ; -   
; Mini plato-Trio de sopas-Crema de apio (80cc)-fondo de ave ; Puerros ; Comercial Valencia ; 0,800 ; c/u ; 790 ; 632 ; 7 
 3 ; Mini plato-Trio de sopas-Crema de choclo  ; Pastelera choclo ; Fruton ; 8,000 ; kg ; 2.750 ; 22.000 ; 220 
 3 ; Mini plato-Trio de sopas-Crema de choclo  ; mantequilla ; Cabezas y cia ; 0,200 ; kg ; 8.391 ; 1.678 ; 17 
 3 ; Mini plato-Trio de sopas-Crema de choclo  ; Albahaca fresca ; Fruton ; 0,400 ; kg ; 4.980 ; 1.992 ; 20 
 3 ; Mini plato-Trio de sopas-Crema de choclo  ; Crema ; Cabezas y cia ; 2,000 ; lt ; 3.721 ; 7.442 ; 75 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Queso de cabra ; artisan ; 1,000 ; kg ; 17.444 ; 17.444 ; 175 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Harina ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Huevos ; MIGUEL FARIAS ; 8,000 ; c/u ; 240 ; 1.920 ; 20 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Pan rallado ; Fruton ; 0,300 ; kg ; 2.400 ; 720 ; 8 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; panko ; Fruton ; 0,600 ; kg ; 4.150 ; 2.490 ; 25 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Sésamo blanco ; MIGUEL FARIAS ; 0,100 ; kg ; 6.000 ; 600 ; 6 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Ají verde ; Fruton ; 0,400 ; kg ; 1.290 ; 516 ; 6 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Deco-ají relleno apanado en panko ; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; cebolla ; Fruton ; 0,250 ; kg ; 690 ; 173 ; 2 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; Carcasa de pollo ; Delicias y mas SpA ; 1,000 ; kg ; 2.290 ; 2.290 ; 23 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; Zanahorias ; Comercial Valencia ; 0,400 ; pqte ; 790 ; 316 ; 4 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; Pimentón Rojo ; Comercial Valencia ; 0,800 ; c/u ; 890 ; 712 ; 8 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; ajo ; Comercial Valencia ; 0,600 ; c/u ; 450 ; 270 ; 3 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; Apio ; Delicias y mas SpA ; 0,050 ; mata ; 980 ; 49 ; 1 
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; agua ; Bodega ; 6,000 ; lt ; -   ; -   ; -   
 3 ; Mini plato-Trio de sopas-Crema de choclo (80 cc)-Fondo de ave ; Puerros ; Comercial Valencia ; 0,800 ; c/u ; 790 ; 632 ; 7 
 3 ; Mini plato-Trio de sopas-Sopa de zapallo,zanahoria y jengibre  ; Zapallo Camote ; Comercial Valencia ; 3,000 ; kg ; 990 ; 2.970 ; 30 
 3 ; Mini plato-Trio de sopas-Sopa de zapallo,zanahoria y jengibre  ; cebolla ; Fruton ; 0,900 ; kg ; 690 ; 621 ; 7 
 3 ; Mini plato-Trio de sopas-Sopa de zapallo,zanahoria y jengibre  ; Zanahorias ; Comercial Valencia ; 0,900 ; pqte ; 790 ; 711 ; 8 
 3 ; Mini plato-Trio de sopas-Sopa de zapallo,zanahoria y jengibre  ; Jengibre fresco ; Fruton ; 0,010 ; kg ; 2.980 ; 30 ; 1 
 3 ; Mini plato-Trio de sopas-Sopa de zapallo,zanahoria y jengibre  ; Leche de coco ; A Y R ; 1,200 ; lt ; 2.200 ; 2.640 ; 27 
; Mini plato-Trio de tiraditos-Tiradito de atún con salsa ponzu ; Atún congelado en loins ; Cerro Pacifico ; 1,500 ; kg ; 7.900 ; 11.850 ; 119 
; Mini plato-Trio de tiraditos-Tiradito de atún con salsa ponzu ; soya ; Delicias y mas SpA ; 0,200 ; lt ; 2.645 ; 529 ; 6 
; Mini plato-Trio de tiraditos-Tiradito de atún con salsa ponzu ; limón ; Fruton ; 0,100 ; kg ; 1.590 ; 159 ; 2 
; Mini plato-Trio de tiraditos-Tiradito de atún con salsa ponzu ; Ciboulette ; Fruton ; 0,500 ; c/u ; 165 ; 83 ; 1 
 MPF18B ; Mini plato-Trio de tiraditos-Tiradito de pulpo y tapenade ; pulpo ; Granja Marina ; 2,500 ; kg ; 16.100 ; 40.250 ; 403 
 MPF18B ; Mini plato-Trio de tiraditos-Tiradito de pulpo y tapenade ; Aceitunas moradas ; Fruton ; 0,500 ; kg ; 5.200 ; 2.600 ; 26 
 MPF18B ; Mini plato-Trio de tiraditos-Tiradito de pulpo y tapenade ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 MPF18B ; Mini plato-Trio de tiraditos-Tiradito de pulpo y tapenade ; Pimentón Rojo ; Comercial Valencia ; 0,250 ; c/u ; 890 ; 223 ; 3 
 MPF18B ; Mini plato-Trio de tiraditos-Tiradito de pulpo y tapenade ; Ciboulette ; Fruton ; 0,150 ; c/u ; 165 ; 25 ; 1 
; Mini plato-Trio de tiraditos-Tiradito de salmon, paltas y limas ; Salmón fresco ; Southwind ; 1,500 ; kg ; 11.600 ; 17.400 ; 174 
; Mini plato-Trio de tiraditos-Tiradito de salmon, paltas y limas ; Palta hass ; Palta royal ; 0,500 ; kg ; 4.000 ; 2.000 ; 20 
; Mini plato-Trio de tiraditos-Tiradito de salmon, paltas y limas ; limón ; Fruton ; 0,100 ; kg ; 1.590 ; 159 ; 2 
; Mini plato-Trio de tiraditos-Tiradito de salmon, paltas y limas ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; Mini plato-Trio de tiraditos-Tiradito de salmon, paltas y limas ; Ciboulette ; Fruton ; 0,300 ; c/u ; 165 ; 50 ; 1 
; Mini plato-Trio de tiraditos-Verdes ; Berros ; Comercial Johnson ; 1,500 ; kg ; 10.490 ; 15.735 ; 158 
; Mini plato-Trio de tiraditos-Verdes ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
; Mini plato-Trio Nikey de Atun y Salmon ; Atún congelado en loins ; Cerro Pacifico ; 1,700 ; kg ; 7.900 ; 13.430 ; 135 
; Mini plato-Trio Nikey de Atun y Salmon ; Salmón fresco ; Southwind ; 2,800 ; kg ; 11.600 ; 32.480 ; 325 
; Mini plato-Trio Nikey de Atun y Salmon ; Palta hass ; Palta royal ; 1,000 ; kg ; 4.000 ; 4.000 ; 40 
; Mini plato-Trio Nikey de Atun y Salmon-jugo asiatico ; soya ; Delicias y mas SpA ; 0,200 ; lt ; 2.645 ; 529 ; 6 
; Mini plato-Trio Nikey de Atun y Salmon-jugo asiatico ; salsa de pescado ; Delicias y mas SpA ; 0,100 ; lt ; 4.380 ; 438 ; 5 
; Mini plato-Trio Nikey de Atun y Salmon-jugo asiatico ; rocotto ; Fruton ; 0,100 ; kg ; 7.992 ; 799 ; 8 
; Mini plato-Trio Nikey de Atun y Salmon-jugo asiatico ; aceite ; Fruton ; 0,100 ; lt ; 3.450 ; 345 ; 4 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 1 ; Huevos ; MIGUEL FARIAS ; 4,000 ; c/u ; 240 ; 960 ; 10 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 1 ; mostaza dijon ; Delicias y mas SpA ; 0,300 ; kg ; 6.715 ; 2.015 ; 21 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 1 ; aceite ; Fruton ; 1,300 ; lt ; 3.450 ; 4.485 ; 45 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 1 ; limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 2 ; Naranjas jugo ; Comercial Valencia ; 1,000 ; kg ; 1.690 ; 1.690 ; 17 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 2 ; Ají srirachia ; Delicias y mas SpA ; 0,200 ; frasco ; 6.890 ; 1.378 ; 14 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 2 ; ajo ; Comercial Valencia ; 2,000 ; c/u ; 450 ; 900 ; 9 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 2 ; Mango fresco ; Fruton ; 1,000 ; kg ; 1.980 ; 1.980 ; 20 
; Mini plato-Trio Nikey de Atun y Salmon-mayo chili parte 2 ; azúcar ; Delicias y mas SpA ; 0,300 ; kg ; 1.300 ; 390 ; 4 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu ; sake ; German García ; 0,300 ; c/u ; 2.628 ; 788 ; 8 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu ; vinagre de arroz ; Centro Abasto ; 0,300 ; botella ; 2.990 ; 897 ; 9 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu ; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu ; Jengibre fresco ; Fruton ; 0,150 ; kg ; 2.980 ; 447 ; 5 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu ; Lemon grass ; Fruton ; 0,150 ; kg ; 6.980 ; 1.047 ; 11 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu (1,1lt) ; limón ; Fruton ; 5,500 ; kg ; 1.590 ; 8.745 ; 88 
; Mini plato-Trio Nikey de Atun y Salmon-salsa yuzu(2lt) ; Naranjas jugo ; Comercial Valencia ; 8,000 ; kg ; 1.690 ; 13.520 ; 136 
; Mini plato-Trio Nikey de Atun y Salmon-Verduras encurtidas ; nabo ; Fruton ; 1,300 ; unid ; 2.790 ; 3.627 ; 37 
; Mini plato-Trio Nikey de Atun y Salmon-Verduras encurtidas ; Zanahorias ; Comercial Valencia ; 1,300 ; pqte ; 790 ; 1.027 ; 11 
; Mini plato-Trio Nikey de Atun y Salmon-Verduras encurtidas ; Aji amarillo ; Fruton ; 0,300 ; kg ; 4.900 ; 1.470 ; 15 
; Mini plato-Trio Nikey de Atun y Salmon-Verduras encurtidas ; vinagre de arroz ; Centro Abasto ; 1,500 ; botella ; 2.990 ; 4.485 ; 45 
; Mini plato-Trio Nikey de Atun y Salmon-Verduras encurtidas ; Azúcar ; Delicias y mas SpA ; 0,800 ; kg ; 1.300 ; 1.040 ; 11 
 DM2 ; Mini plato-VEGANO-Copa de martini con taboule, hummus, berros y falafel-Deco-Berros ; Berros ; Comercial Johnson ; 0,500 ; kg ; 10.490 ; 5.245 ; 53 
 DM2 ; Mini plato-VEGANO-Copa de martini con taboule, hummus, berros y falafel-Deco-Berros ; falafel ; Nezar Lama ; 100,000 ; c/u ; 378 ; 37.800 ; 378 
 DM2 ; Mini plato-VEGANO-Copa de martini con taboule, hummus, berros y falafel-Deco-Berros ; Humus tahine ; Nezar Lama ; 3,000 ; kg ; 11.800 ; 35.400 ; 354 
 DM2 ; Mini plato-VEGANO-Copa de martini con taboule, hummus, berros y falafel-Deco-Berros ; taboule ; Nezar Lama ; 4,000 ; kg ; 11.800 ; 47.200 ; 472 
; Mini plato-Vitello Tonatto de filete-Deco- alcaparras y parmesano ; Queso parmesano en trozo ; Don Jaime ; 0,500 ; kg ; 12.524 ; 6.262 ; 63 
; Mini plato-Vitello Tonatto de filete-Deco- alcaparras y parmesano ; alcaparras ; Delicias y mas SpA ; 0,150 ; frasco ; 7.890 ; 1.184 ; 12 
; Mini plato-Vitello Tonatto de filete-Láminas de filete ; Filete sin cordon  ; Etiqueta negra ; 2,700 ; kg ; 11.990 ; 32.373 ; 324 
; Mini plato-Vitello Tonatto de filete-Salsa de atún ; Atún en lata 190 grs ; Delicias y mas SpA ; 1,000 ; lata ; 1.490 ; 1.490 ; 15 
; Mini plato-Vitello Tonatto de filete-Salsa de atún ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 0,400 ; kg ; 3.650 ; 1.460 ; 15 
; Mini plato-Vitello Tonatto de filete-Salsa de atún ; anchoas ; Delicias y mas SpA ; 1,000 ; lata ; 7.340 ; 7.340 ; 74 
; Mini plato-Vitello Tonatto de filete-Salsa de atún ; vinagre de manzana ; Centro Abasto ; 0,350 ; botella ; 1.290 ; 452 ; 5 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; Puerros ; Comercial Valencia ; 4,000 ; c/u ; 790 ; 3.160 ; 32 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; Carcasa de pollo ; Delicias y mas SpA ; 10,000 ; kg ; 2.290 ; 22.900 ; 229 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; cebolla ; Fruton ; 1,200 ; kg ; 690 ; 828 ; 9 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; Zanahorias ; Comercial Valencia ; 2,000 ; pqte ; 790 ; 1.580 ; 16 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; Pimentón Rojo ; Comercial Valencia ; 4,000 ; c/u ; 890 ; 3.560 ; 36 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; ajo ; Comercial Valencia ; 3,000 ; c/u ; 450 ; 1.350 ; 14 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; Apio ; Delicias y mas SpA ; 0,250 ; mata ; 980 ; 245 ; 3 
; Mini plato-wantan de camarones y chancho en 2 texturas-Fondo de pollo ; agua ; Bodega ; 30,000 ; lt ; -   ; -   ; -   
; Mini plato-wantan de camarones y chancho en 2 texturas-Salsa ponzu en pocillo de sopa chico ; soya ; Delicias y mas SpA ; 1,500 ; lt ; 2.645 ; 3.968 ; 40 
; Mini plato-wantan de camarones y chancho en 2 texturas-Salsa ponzu en pocillo de sopa chico ; agua ; Bodega ; 1,500 ; lt ; -   ; -   ; -   
; Mini plato-wantan de camarones y chancho en 2 texturas-Salsa ponzu en pocillo de sopa chico ; limón ; Fruton ; 1,500 ; kg ; 1.590 ; 2.385 ; 24 
; Mini plato-wantan de camarones y chancho en 2 texturas-Salsa ponzu en pocillo de sopa chico ; Jengibre fresco ; Fruton ; 0,100 ; kg ; 2.980 ; 298 ; 3 
; Mini plato-wantan de camarones y chancho en 2 texturas-Salsa ponzu en pocillo de sopa chico ; Ciboulette ; Fruton ; 10,000 ; c/u ; 165 ; 1.650 ; 17 
; Mini plato-wantan de camarones y chancho en 2 texturas-Sopa de wantan ; soya ; Delicias y mas SpA ; 1,000 ; lt ; 2.645 ; 2.645 ; 27 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan ; salsa de pescado ; Delicias y mas SpA ; 0,500 ; lt ; 4.380 ; 2.190 ; 22 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan ; Jengibre fresco ; Fruton ; 0,200 ; kg ; 2.980 ; 596 ; 6 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan ; Espinacas ; Fruton ; 1,500 ; kg ; 1.690 ; 2.535 ; 26 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan ; Camarón 26/30 ; Cero Pacifico ; 4,000 ; kg ; 7.400 ; 29.600 ; 296 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan ; solomillo de cerdo ; Comercial Chau ; 3,000 ; kg ; 3.298 ; 9.894 ; 99 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan de camaron ( 2 unidades ) ; Masa de Spring roll 25*25 ; Delicias y mas SpA ; 1,800 ; pqte ; 6.290 ; 11.322 ; 114 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan de camaron ( 2 unidades ) ; Huevos ; MIGUEL FARIAS ; 10,000 ; c/u ; 240 ; 2.400 ; 24 
; Mini plato-wantan de camarones y chancho en 2 texturas-wantan de camaron ( 2 unidades ) ; papel mantequilla ; cambiar ; 2,000 ; pliego ; 79 ; 158 ; 2 
